Course Number,Course Name,Credits,Requirement Filled,Term,Instructor
MATH100,Basic Math Skills for Modern World,4,R1,Spring,Beaulieu
MATH102,Analytic Geometry and Trigonometry,4,R1,Spring,Norkin
MATH104,Algebra Analytic Geometry and Trigonometry,4,R1,Spring,Benincasa
MATH127,Calculus for the Life and Social Sciences I,4,R2,Spring,Calden
MATH128,Calculus for the Life and Social Sciences II,4,R2,Spring,Cook
ANTHRO281,Research Methods in Anthropology,4,R2,Spring,King
CMPSCI105,Computer Literacy,4,R2,Spring,Verts
LINGUIST201,Introduction to Lingusitic Theory,4,R2,Spring,Harris
BIOLOGY105,Biology of Social Issues,4,BS,Spring,Irschick
FOODSCI150,The Science of Food,4,BS,Spring,Levin
KIN100,Introduction to Kinesiology,4,BS,Spring,Kamen
ASTRON100,Exploring the Universe,4,PS,Spring,Wilson
CHEM111,Gen ChemSci,4,PS,Spring,Holden
AFROAM151,Literature and Culture,4,AL,Spring,Zelaya
CLASSICS224,Greek Mythology,4,AL,Spring,Philippides
CLASSICS202,The Age of Augustus,4,AT,Spring,Breed
JAPANESE235,Performing Arts of Japan,4,AT,Spring,Baird
ANTHRO150,Ancient Civilizations,4,HS,Spring,Agostini
ECON105,Introduction to Political Economy,4,U,Spring,Crowell
EDUC115,Embracing Diversity,4,U,Spring,Barnes
LEGAL250,Introduction to Legal Studies,4,U,Spring,Collins
ENGLISH307,Modernism and Its Others,4,G,Spring,Fernando
GEOGRAPH102,The Human Landscape,4,G,Spring,Applegate